Booking_ID,Booking_Date,Check_In_Date,Check_Out_Date,Nights,City,Country,Region,Property_Type,Room_Type,Guests,Price_Per_Night,Total_Price,Host_Rating,Guest_Rating,Amenities_Count,Instant_Book,Cancellation_Status,Guest_Country
10001,2021-06-11,2021-07-22,2021-08-01,10,"New York","United States","North America","Cottage","Entire home/apt",1,304,3040,4.2,4.6,6,false,"Confirmed","Australia"
10002,2023-09-12,2023-09-27,2023-09-30,3,"New York","United States","North America","House","Entire home/apt",1,356,1068,4.9,4.9,9,true,"Confirmed","Mexico"
10003,2021-12-05,2022-01-23,2022-02-06,14,"New York","United States","North America","Studio","Entire home/apt",1,170,2380,4.3,4.8,17,false,"Cancelled","United States"
10004,2022-01-03,2022-02-26,2022-03-12,14,"New York","United States","North America","Townhouse","Entire home/apt",3,366,5124,4.2,4.2,19,true,"Confirmed","South Korea"
10005,2021-01-22,2021-02-20,2021-02-26,6,"New York","United States","North America","Villa","Private room",2,272,1632,4.9,4.2,16,true,"Confirmed","Canada"
10006,2023-11-27,2024-01-06,2024-01-08,2,"New York","United States","North America","Townhouse","Private room",2,209,418,4.1,4.3,17,true,"Confirmed","United States"
10007,2023-02-19,2023-02-20,2023-03-01,9,"New York","United States","North America","Cottage","Private room",2,175,1575,4.1,4.7,13,false,"Cancelled","China"
10008,2023-09-30,2023-10-12,2023-10-26,14,"New York","United States","North America","Apartment","Shared room",1,67,938,4.3,4.7,16,true,"Cancelled","Germany"
10009,2021-04-28,2021-06-05,2021-06-09,4,"New York","United States","North America","Cottage","Shared room",3,139,556,4.5,4.5,14,true,"Confirmed","Mexico"
10010,2020-06-05,2020-06-19,2020-06-22,3,"New York","United States","North America","Condo","Hotel room",4,264,792,4.8,4.5,7,true,"Confirmed","Italy"
10011,2020-07-01,2020-07-10,2020-07-19,9,"New York","United States","North America","Loft","Shared room",4,116,1044,4.6,4.4,15,true,"Confirmed","France"
10012,2023-08-12,2023-10-06,2023-10-08,2,"New York","United States","North America","Loft","Hotel room",3,167,334,4.2,5,7,false,"Confirmed","Germany"
10013,2022-09-29,2022-10-06,2022-10-11,5,"New York","United States","North America","Cabin","Private room",5,87,435,4.3,4.7,16,true,"Confirmed","Germany"
10014,2021-10-14,2021-11-24,2021-11-25,1,"New York","United States","North America","Studio","Shared room",3,50,50,4.8,4.2,13,false,"Confirmed","Brazil"
10015,2022-02-07,2022-02-27,2022-03-08,9,"New York","United States","North America","Loft","Shared room",3,84,756,4,4.2,17,false,"Confirmed","United Kingdom"
10016,2023-06-21,2023-07-19,2023-07-27,8,"New York","United States","North America","Loft","Private room",2,215,1720,4.9,4.9,5,false,"Confirmed","Italy"
10017,2021-08-09,2021-10-07,2021-10-09,2,"New York","United States","North America","Condo","Hotel room",1,140,280,4.8,4.8,9,false,"Confirmed","Japan"
